Year Released,Album Length,Album Name,Artist
2016,9298697,Before The Dawn (Live),Kate Bush
2011,3908079,50 Words For Snow,Kate Bush
2011,3422013,Director's Cut (2018 Remaster),Kate Bush
2005,4806954,Aerial (2018 Remaster),Kate Bush
1993,3300221,The Red Shoes (2018 Remaster),Kate Bush
1989,2523624,The Sensual World (2018 Remaster),Kate Bush
1985,2842489,Hounds of Love (2018 Remaster),Kate Bush
1982,2601010,The Dreaming (2018 Remaster),Kate Bush
1982,2578490,The Dreaming,Kate Bush
1980,2259437,Never for Ever,Kate Bush
1980,2245768,Never for Ever (2018 Remaster),Kate Bush
1978,2216131,Lionheart,Kate Bush
1978,2219663,Lionheart (2018 Remaster),Kate Bush
1978,2593196,The Kick Inside (2018 Remaster),Kate Bush
1978,2590090,The Kick Inside,Kate Bush
2022,4911162,Un Verano Sin Ti,Bad Bunny
2020,2839999,EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny
2020,1819060,LAS QUE NO IBAN A SALIR,Bad Bunny
2020,3958030,YHLQMDLG,Bad Bunny
2019,1866504,OASIS,J Balvin
2018,3236579,X 100PRE,Bad Bunny
2022,3932817,I NEVER LIKED YOU,Future
2022,3905700,I NEVER LIKED YOU (Instrumental),Future
2020,4969309,Pluto x Baby Pluto (Deluxe),Future
2020,3269252,Pluto x Baby Pluto,Future
2020,4215093,High Off Life,Future
2019,1217105,SAVE ME,Future
2019,3718236,Future Hndrxx Presents: The WIZRD,Future
2018,2976502,Future & Juice WRLD Present... WRLD ON DRUGS,Future
2018,1909689,BEASTMODE 2,Future
2018,4649306,SUPERFLY (Original Motion Picture Soundtrack),Future
2017,2449606,SUPER SLIMEY,Future
2017,4600471,HNDRXX,Future
2017,4460482,FUTURE,Future
2016,2544799,EVOL,Future
2016,2392890,Purple Reign,Future
2015,5191840,DS2 (Deluxe),Future
2015,1303038,DS2 - Track by Track Commentary,Future
2015,1400184,56 Nights,Future
2015,1672377,Beast Mode (Instrumentals),Future
2015,1498784,Beast Mode,Future
2014,2787343,Monster,Future
2014,4010381,Honest,Future
2021,4521972,Justice (The Complete Edition),Justin Bieber
2021,3909499,Justice (Triple Chucks Deluxe),Justin Bieber
2021,2731167,Justice,Justin Bieber
2020,3095114,Changes,Justin Bieber
2015,4179341,Purpose (Deluxe),Justin Bieber
2014,3539862,Journals,Justin Bieber
2013,2188010,Believe Acoustic,Justin Bieber
2012,3790486,Believe (Deluxe Edition),Justin Bieber
2012,2895234,Believe,Justin Bieber
2011,1690664,Never Say Never - The Remixes,Justin Bieber
2011,2272063,Under The Mistletoe,Justin Bieber
2011,3039076,Under The Mistletoe (Deluxe Edition),Justin Bieber
2010,2253464,My World 2.0,Justin Bieber
2010,2273184,My Worlds Acoustic,Justin Bieber
2009,1559238,My World,Justin Bieber
2022,2060492,Familia,Camila Cabello
2019,2807327,Romance,Camila Cabello
2018,2220303,Camila,Camila Cabello
2021,3494795,KG0516,KAROL G
2019,3057275,OCEAN,KAROL G
2017,2569981,Unstoppable,KAROL G
2020,2169868,Cup Of Beats (Deluxe),Lost Frequencies
2019,5036829,Alive And Feeling Fine,Lost Frequencies
2017,3738960,Less Is More (Deluxe),Lost Frequencies
2016,3089667,Less Is More,Lost Frequencies
2022,1973344,777,Latto
2020,2643938,Queen of Da Souf (Extended Version) [Deluxe Version],Latto
2020,1884138,Queen of Da Souf,Latto
2018,1991832,Mulatto,Latto
2017,3289421,Latto Let 'Em Know,Latto
2016,1831489,Miss Mulatto,Latto
2022,7696377,Proof,BTS
2020,1710108,BE,BTS
2020,2780368,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,BTS
2020,4498744,MAP OF THE SOUL : 7,BTS
2019,1562009,MAP OF THE SOUL : PERSONA,BTS
2018,6254720,Love Yourself 結 'Answer',BTS
2018,2638213,Love Yourself 轉 'Tear',BTS
2018,2665862,FACE YOURSELF,BTS
2017,1842326,Love Yourself 承 'Her',BTS
2017,3964450,You Never Walk Alone,BTS
2016,3221301,Wings,BTS
2016,2956156,Youth,BTS
2016,5316614,The Most Beautiful Moment in Life: Young Forever,BTS
2015,2052797,The Most Beautiful Moment in Life Pt.2,BTS
2015,1887025,The Most Beautiful Moment in Life Pt.1,BTS
2014,2979542,Wake Up (Standard Edition),BTS
2014,3091153,Dark & Wild,BTS
2014,2603366,Skool Luv Affair (Special Addition),BTS
2014,2129301,Skool Luv Affair,BTS
2013,1835944,"O!RUL8,2?",BTS
2013,1249664,2 Cool 4 Skool,BTS
2018,2671489,Voicenotes,Charlie Puth
2016,3167170,Nine Track Mind (Deluxe Edition),Charlie Puth
2016,2470315,Nine Track Mind,Charlie Puth
2021,3825922,Laundry Service: Washed and Dried (Expanded Edition),Shakira
2019,5144228,Shakira In Concert: El Dorado World Tour,Shakira
2017,2638942,El Dorado,Shakira
2014,3092313,Shakira. (Expanded Edition),Shakira
2011,4652114,Live From Paris,Shakira
2010,2946982,Sale el Sol,Shakira
2009,3253208,She Wolf (Expanded Edition),Shakira
2005,2977156,"Oral Fixation, Vol. 2 (Expanded Edition)",Shakira
2005,2587501,"Fijación Oral, Vol. 1",Shakira
2004,3333531,Live & Off The Record,Shakira
2001,2942808,Laundry Service,Shakira
2000,3011636,Shakira MTV Unplugged,Shakira
1998,2473956,Donde Estan Los Ladrones,Shakira
1997,4353438,The Remixes,Shakira
1995,2459130,Pies Descalzos,Shakira
2017,2264930,Funk Wav Bounces Vol.1,Calvin Harris
2014,3353475,Motion,Calvin Harris
2012,2994249,18 Months,Calvin Harris
2009,3146050,Ready For The Weekend,Calvin Harris
2007,3330742,I Created Disco,Calvin Harris
2018,1366237,DRAGON MENTALITY,Elley Duhé
2022,2208781,i used to think i could fly,Tate McRae
2022,2513414,Top Gun: Maverick (Music From The Motion Picture),Lady Gaga
2022,3662864,One Night In Malibu,OneRepublic
2021,3045376,Human (Deluxe),OneRepublic
2020,3170197,CLOUDS (Music From The Disney+ Original Movie),OneRepublic
2016,2553782,Oh My My,OneRepublic
2014,3438928,Native,OneRepublic
2009,2853903,Waking Up,OneRepublic
2009,3890128,Waking Up (Deluxe),OneRepublic
2007,3166194,Dreaming Out Loud,OneRepublic
2021,2702897,Something for Thee Hotties,Megan Thee Stallion
2020,2990683,Good News,Megan Thee Stallion
2020,1975383,Suga (Chopnotslop Remix),Megan Thee Stallion
2020,1473024,Suga,Megan Thee Stallion
2019,2409111,Fever,Megan Thee Stallion
2018,1816152,Tina Snow,Megan Thee Stallion
2018,1746517,Make It Hot (ChopNotSlop Remix),Megan Thee Stallion
2017,1435403,Make It Hot,Megan Thee Stallion
2017,2996057,Hidden Figures - Original Score,Hans Zimmer
2014,3048690,G I R L,Pharrell Williams
2006,7491204,In My Mind (Deluxe Edition),Pharrell Williams
2006,3865210,In My Mind,Pharrell Williams
2021,4726953,F*CK LOVE 3+: OVER YOU,The Kid LAROI
2021,3949306,F*CK LOVE 3: OVER YOU,The Kid LAROI
2020,2876680,F*CK LOVE (SAVAGE),The Kid LAROI
2020,1866301,F*CK LOVE,The Kid LAROI
2021,2061005,Shockwave,Marshmello
2019,2330085,Joytime III,Marshmello
2018,1887725,Joytime II,Marshmello
2016,2106615,Joytime,Marshmello
2022,7014849,hopeless fountain kingdom (Live From Webster Hall),Halsey
2022,3303434,"If I Can’t Have Love, I Want Power (Extended)",Halsey
2021,1512261,Love And Power EP: Love,Halsey
2021,2577943,"If I Can’t Have Love, I Want Power",Halsey
2020,8052169,BADLANDS (Live From Webster Hall),Halsey
2020,4996647,Manic,Halsey
2017,2931379,hopeless fountain kingdom (Deluxe),Halsey
2017,2318541,hopeless fountain kingdom,Halsey
2015,3340273,BADLANDS (Deluxe),Halsey
2015,2408629,BADLANDS,Halsey
2021,5210224,Dreamland (+ Bonus Levels),Glass Animals
2020,3689568,Dreamland (+ Bonus Levels),Glass Animals
2020,2724491,Dreamland,Glass Animals
2016,2593592,How To Be A Human Being,Glass Animals
2014,3661895,ZABA (Deluxe),Glass Animals
2014,2737956,ZABA,Glass Animals
2021,2635022,Love For Sale (Deluxe),Tony Bennett
2021,2989278,Dawn Of Chromatica,Lady Gaga
2021,5195689,BORN THIS WAY THE TENTH ANNIVERSARY,Lady Gaga
2020,2588168,Chromatica,Lady Gaga
2018,4216550,A Star Is Born Soundtrack,Lady Gaga
2018,3824460,A Star Is Born Soundtrack (Without Dialogue),Lady Gaga
2016,2844821,Joanne (Deluxe),Lady Gaga
2016,2346529,Joanne,Lady Gaga
2014,2676248,Cheek To Cheek (Deluxe),Tony Bennett
2014,2089357,Cheek To Cheek,Tony Bennett
2013,3325916,ARTPOP,Lady Gaga
2011,3673114,Born This Way,Lady Gaga
2011,5993753,Born This Way (Special Edition),Lady Gaga
2009,2054051,The Fame Monster,Lady Gaga
2009,5300207,The Fame Monster (Deluxe Edition),Lady Gaga
2008,3246156,The Fame,Lady Gaga
2022,4754703,= (Tour Edition),Ed Sheeran
2022,2068307,2step (The Remixes),Ed Sheeran
2021,2221431,2step (The Remixes),Ed Sheeran
2021,2910754,=,Ed Sheeran
2019,2995806,No.6 Collaborations Project,Ed Sheeran
2017,3573926,÷ (Deluxe),Ed Sheeran
2014,8169769,5,Ed Sheeran
2014,3956377,x (Deluxe Edition),Ed Sheeran
2013,6000521,x (Wembley Edition),Ed Sheeran
2011,1897892,Live at the Bedford,Ed Sheeran
2011,1904436,Loose Change,Ed Sheeran
2011,3943217,+,Ed Sheeran
2011,2113771,No.5 Collaborations Project,Ed Sheeran
2021,7865236,Donda (Deluxe),Kanye West
2021,6539171,Donda,Kanye West
2019,1624134,JESUS IS KING,Kanye West
2018,1432344,KIDS SEE GHOSTS,KIDS SEE GHOSTS
2018,1423757,ye,Kanye West
2016,3960077,The Life Of Pablo,Kanye West
2013,2404623,Yeezus,Kanye West
2011,4073915,Watch The Throne (Deluxe),JAY-Z
2011,2777782,Watch The Throne,JAY-Z
2010,4121074,My Beautiful Dark Twisted Fantasy,Kanye West
2008,3125170,808s & Heartbreak,Kanye West
2007,3269262,Graduation,Kanye West
2005,4202219,Late Registration,Kanye West
2004,4583419,The College Dropout,Kanye West
2022,4725266,Mr. Morale & The Big Steppers,Kendrick Lamar
2018,2958567,Black Panther The Album Music From And Inspired By,Kendrick Lamar
2017,3300969,DAMN. COLLECTORS EDITION.,Kendrick Lamar
2017,3300969,DAMN.,Kendrick Lamar
2016,2049102,untitled unmastered.,Kendrick Lamar
2015,4739609,To Pimp A Butterfly,Kendrick Lamar
2012,5252649,"good kid, m.A.A.d city (Deluxe)",Kendrick Lamar
2012,4380263,"good kid, m.A.A.d city",Kendrick Lamar
2011,3272570,Section.80,Kendrick Lamar
2010,3217710,Overly Dedicated,Kendrick Lamar
2022,10751962,Madman Across The Water (Deluxe Edition),Elton John
2021,4132884,The Lockdown Sessions (Christmas Edition),Elton John
2021,3924338,The Lockdown Sessions,Elton John
2020,12924354,Jewel Box,Elton John
2020,5870067,Live From Moscow (Live From Moscow / 1979),Elton John
2019,4371688,Rocketman (Music From The Motion Picture),Elton John
2016,2947609,Wonderful Crazy Night (Deluxe),Elton John
2013,3460721,The Diving Board,Elton John
2013,4587833,The Diving Board (Deluxe Version),Elton John
2010,4290034,The Union (Deluxe),Elton John
2010,3800079,The Union,Elton John
2007,4410970,Elton 60 - Live At Madison Square Garden,Elton John
2006,2762223,The Captain and The Kid,Elton John
2004,3700421,Peachtree Road (Expanded Edition),Elton John
2004,3124795,Peachtree Road,Elton John
2002,3507994,Songs From The West Coast,Elton John
2001,4625007,Songs From The West Coast (Expanded Edition),Elton John
2000,4573553,One Night Only,Elton John
2000,3733023,The Road To El Dorado (Original Motion Picture Soundtrack),Elton John
1998,4426221,Live In Australia (Remastered 1998),Elton John
1997,3122276,The Big Picture,Elton John
1995,3162329,Made In England,Elton John
1993,4464861,Duets,Elton John
1992,8727119,Rare Masters,Elton John
1992,4102727,The One,Elton John
1989,3073837,Sleeping With The Past (Remastered with bonus tracks),Elton John
1989,2088358,The Complete Thom Bell Sessions,Elton John
1988,3852661,Reg Strikes Back,Elton John
1986,2775343,Leather Jackets,Elton John
1985,3860822,Ice On Fire,Elton John
1984,2440757,Breaking Hearts,Elton John
1983,3811062,Too Low For Zero,Elton John
1982,2569158,Jump Up!,Elton John
1981,2743717,The Fox,Elton John
1980,2577890,21 At 33,Elton John
2021,1748262,Teatro d'ira - Vol. I,Måneskin
2018,2056741,Il ballo della vita,Måneskin
2017,1252331,Chosen,Måneskin
2021,3693958,Still Sleep? (Deluxe),Sleepy Hallow
2021,2049663,Still Sleep?,Sleepy Hallow
2020,1679422,Sleepy Hallow Presents: Sleepy For President,Sleepy Hallow
2019,1988489,DON'T SLEEP,Sleepy Hallow
2021,1182610,Boyfriend,CKay
2019,1399237,CKay The First,CKay
2019,3317019,Snacks (Supersize),Jax Jones
2019,1677263,Snacks,Jax Jones
2020,2564900,The London Sessions,Tiësto
2019,1576192,Together,Tiësto
2017,7110900,"CLUBLIFE, VOL. 5: CHINA",Tiësto
2016,3493730,AFTR:HRS (Mixed By Tiësto),Tiësto
2015,3791302,"Club Life, Vol. 4 - New York City",Tiësto
2014,4685226,A Town Called Paradise,Tiësto
2014,4396831,A Town Called Paradise (Deluxe),Tiësto
2013,4614474,"Club Life, Vol. 3 - Stockholm",Tiësto
2012,8944408,Club Life - Volume 2 Miami,Tiësto
2011,4678757,Club Life - Volume One Las Vegas (Continuous DJ Mix),Tiësto
2011,5896048,Club Life - Volume One Las Vegas (Unmixed),Tiësto
2010,9374751,Nyana Mixed by Tiësto,Tiësto
2010,23509802,Nyana,Tiësto
2010,4341609,Kaleidoscope: Remixed,Tiësto
2010,10360162,Magikal Journey -The Hits Collection 1998 - 2008,Tiësto
2010,11202723,In Search Of Sunrise 1,Tiësto
2009,4427887,Kaleidoscope,Tiësto
2009,10103396,Parade of the Athletes,Tiësto
2009,24167331,In Search Of Sunrise 4 - Latin America,Tiësto
2009,22461179,In Search Of Sunrise 5 - Los Angeles,Tiësto
2009,6707577,Elements Of Life (Remixed),Tiësto
2009,7650354,Just Be (Remixed),Tiësto
2009,4532358,Elements Of Life,Tiësto
2009,4580756,Just Be,Tiësto
2009,8877393,In My Memory,Tiësto
2009,9290978,In Search of Sunrise 6 Mixed by Tiësto (Ibiza),Tiësto
2009,20177500,In Search Of Sunrise 7 - Asia,Tiësto
2009,8417178,In Search of Sunrise 7 Mixed by Tiësto (Asia),Tiësto
2008,12297199,Elements of Life Remixed (Extended Mixes),Tiësto
